,Object,Epoch (TDB),TP (TDB),e,i (deg),w (deg),Node (deg),q (AU),Q (AU),P (yr),MOID (AU),A1 (AU/d^2),A2 (AU/d^2),A3 (AU/d^2),DT (d),ref,Object_name
18,41P/Tuttle-Giacobini-Kresak,53821.0,2453898.2909999997,0.6604126649000001,9.228028049,62.19321856,141.0929309,1.047777635,5.12,5.42,0.135384,1.35e-08,3.3100000000000004e-09,3.3100000000000004e-09,3.3100000000000004e-09,K064/9,41P/Tuttle-Giacobini-Kresak
19,45P/Honda-Mrkos-Pajdusakova,56060.0,2455833.2819999997,0.8246720759,4.252433261,326.25804039999997,89.0021809,0.5297614214,5.51,5.25,0.060071000000000006,3.88e-09,4.33e-10,4.33e-10,4.33e-10,K112/2,45P/Honda-Mrkos-Pajdusakova
20,46P/Wirtanen,56799.0,2456482.869,0.6592025614,11.75713931,356.34020530000004,82.16439077,1.052262085,5.12,5.43,0.068212,2.8199999999999998e-09,-1.36e-09,6.650000000000001e-10,-3.73,K073/17,46P/Wirtanen
21,55P/Tempel-Tuttle,51040.0,2450872.598,0.905552721,162.4865754,172.5002737,235.27098909999998,0.9764279155,19.7,33.24,0.008481,1.58e-09,9.19e-11,9.19e-11,9.19e-11,J985/69,55P/Tempel-Tuttle
22,66P/du Toit,52920.0,2452879.492,0.7877014869,18.70073632,257.2497193,22.21536497,1.274266775,10.73,14.71,0.430358,-3.77e-10,-1.1000000000000001e-10,-1.1000000000000001e-10,-1.1000000000000001e-10,48,66P/du Toit
23,67P/Churyumov-Gerasimenko,56981.0,2457247.5719999997,0.6409739314,7.0402009020000005,12.78560607,50.14210951,1.243241683,5.68,6.44,0.257189,1.09e-09,1.0699999999999999e-10,1.96e-10,1.96e-10,K084/21,67P/Churyumov-Gerasimenko
24,72P/Denning-Fujikawa,56981.0,2456850.137,0.8191545266,9.16928387,337.85804249999995,36.10919646,0.7841612055,7.89,9.03,0.085253,0.085253,0.085253,0.085253,0.085253,21,72P/Denning-Fujikawa
25,73P/Schwassmann-Wachmann 3,50080.0,2449983.39,0.6948269106,11.4234876,198.76997869999997,69.94634151,0.9327707926000001,5.18,5.34,0.045198,6.8700000000000005e-09,4.900000000000001e-10,4.900000000000001e-10,4.900000000000001e-10,J954/19,73P/Schwassmann-Wachmann 3
26,73P/Schwassmann-Wachmann 3-B,53880.0,2453894.424,0.6932855207999999,11.39695195,198.7994526,69.8924768,0.9391110367000001,5.18,5.36,0.04071,1.49e-08,1.9600000000000003e-09,1.9600000000000003e-09,1.9600000000000003e-09,K061/24,73P/Schwassmann-Wachmann 3-B
27,73P/Schwassmann-Wachmann 3-C,55980.0,2455851.4,0.6922258013,11.37915706,198.87059140000002,69.84321690000002,0.9428566312000001,5.18,5.36,0.038373000000000004,6.54e-09,4.83e-10,-6.0999999997584995,-12.2,K114/1,73P/Schwassmann-Wachmann 3-C
28,73P/Schwassmann-Wachmann 3-E,51920.0,2451937.953,0.6938774628000001,11.40562118,198.7732444,69.91710448,0.9374369945000001,5.19,5.36,0.041033,1.72e-08,5.8099999999999996e-09,5.8099999999999996e-09,5.8099999999999996e-09,K013/11,73P/Schwassmann-Wachmann 3-E
29,73P/Schwassmann-Wachmann 3-G,53839.0,2453894.596,0.6934129712,11.38956229,198.77460109999998,69.90839961,0.9391839301,5.19,5.36,0.04054,0.04054,0.04054,0.04054,0.04054,19,73P/Schwassmann-Wachmann 3-G
30,73P/Schwassmann-Wachmann 3-H,53839.0,2453894.78,0.6935658067,11.3910639,198.77380449999998,69.90789141,0.9391695084999999,5.19,5.37,0.04055,0.04055,0.04055,0.04055,0.04055,14,73P/Schwassmann-Wachmann 3-H
31,73P/Schwassmann-Wachmann 3-J,53815.0,2453894.65,0.6915388167000001,11.38026546,198.86944409999998,69.82886018,0.9390202047,5.15,5.31,0.040713,0.040713,0.040713,0.040713,0.040713,3,73P/Schwassmann-Wachmann 3-J
32,73P/Schwassmann-Wachmann 3-K,53839.0,2453894.722,0.6935434852,11.39106462,198.7896439,69.8973434,0.9390768439,5.19,5.36,0.040579000000000004,0.040579000000000004,0.040579000000000004,0.040579000000000004,0.040579000000000004,4,73P/Schwassmann-Wachmann 3-K
